"FriendlyName","GUID"
"AI Builder Capacity add-on","System.Object[]"
"App Connect IW","System.Object[]"
"App governance add-on to Microsoft Defender for Cloud Apps","System.Object[]"
"Azure Information Protection Plan 1","System.Object[]"
"Azure Information Protection Premium P1_USGOV_GCCHIGH","System.Object[]"
"Basic Collaboration","System.Object[]"
"Business Apps (free)","System.Object[]"
"Career Coach for faculty","System.Object[]"
"Career Coach for students","System.Object[]"
"Clipchamp Premium","System.Object[]"
"Clipchamp Standard","System.Object[]"
"Common Data Service Database Capacity","System.Object[]"
"Common Data Service Database Capacity for Government","System.Object[]"
"Common Data Service for Apps File Capacity","System.Object[]"
"Common Data Service Log Capacity","System.Object[]"
"Communications Credits","System.Object[]"
"Compliance Manager Premium Assessment Add-On","System.Object[]"
"Compliance Manager Premium Assessment Add-On for GCC","System.Object[]"
"Defender Threat Intelligence","System.Object[]"
"Digital Messaging for GCC Test SKU","System.Object[]"
"Dynamics 365 - Additional Database Storage (Qualified Offer)","System.Object[]"
"Dynamics 365 - Additional Non-Production Instance (Qualified Offer)","System.Object[]"
"Dynamics 365 - Additional Non-Production Instance for Government","System.Object[]"
"Dynamics 365 - Additional Production Instance (Qualified Offer)","System.Object[]"
"Dynamics 365 AI for Market Insights (Preview)","System.Object[]"
"Dynamics 365 Asset Management Addl Assets","System.Object[]"
"Dynamics 365 Business Central Additional Environment Addon","System.Object[]"
"Dynamics 365 Business Central Database Capacity","System.Object[]"
"Dynamics 365 Business Central Essentials","System.Object[]"
"Dynamics 365 Business Central Essentials Attach","System.Object[]"
"Dynamics 365 Business Central External Accountant","System.Object[]"
"Dynamics 365 Business Central for IWs","System.Object[]"
"Dynamics 365 Business Central Premium","System.Object[]"
"Dynamics 365 Business Central Team Members","System.Object[]"
"Dynamics 365 Commerce","System.Object[]"
"Dynamics 365 Commerce Trial","System.Object[]"
"Dynamics 365 Customer Engagement Plan","System.Object[]"
"Dynamics 365 Customer Insights Attach","System.Object[]"
"Dynamics 365 Customer Insights Standalone","System.Object[]"
"Dynamics 365 Customer Insights vTrial","System.Object[]"
"Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government","System.Object[]"
"Dynamics 365 Customer Service Digital Messaging and Voice Add-in for Government for Test","System.Object[]"
"Dynamics 365 Customer Service Enterprise Admin","System.Object[]"
"Dynamics 365 Customer Service Enterprise Viral Trial","System.Object[]"
"Dynamics 365 Customer Service Insights Trial","System.Object[]"
"Dynamics 365 Customer Service Professional","System.Object[]"
"Dynamics 365 Customer Voice","System.Object[]"
"Dynamics 365 Customer Voice Additional Responses","System.Object[]"
"Dynamics 365 Customer Voice Trial","System.Object[]"
"Dynamics 365 Customer Voice USL","System.Object[]"
"Dynamics 365 Enterprise Edition - Additional Database Storage for Government","System.Object[]"
"Dynamics 365 Enterprise Edition - Additional Non-Production Instance for Government","System.Object[]"
"Dynamics 365 Enterprise Edition - Additional Portal (Qualified Offer)","System.Object[]"
"Dynamics 365 Enterprise Edition - Additional Portal for Government","System.Object[]"
"Dynamics 365 Enterprise Edition - Additional Production Instance for Government","System.Object[]"
"Dynamics 365 Field Service Contractor for Government","System.Object[]"
"Dynamics 365 Field Service Viral Trial","System.Object[]"
"Dynamics 365 Field Service, Enterprise Edition - Resource Scheduling Optimization","System.Object[]"
"Dynamics 365 Finance","System.Object[]"
"Dynamics 365 for Case Management Enterprise Edition","System.Object[]"
"Dynamics 365 for Case Management, Enterprise Edition for Government","System.Object[]"
"Dynamics 365 for Customer Service Chat","System.Object[]"
"Dynamics 365 for Customer Service Chat for Government","System.Object[]"
"Dynamics 365 for Customer Service Digital Messaging add-on for Government","System.Object[]"
"Dynamics 365 for Customer Service Enterprise Attach to Qualifying Dynamics 365 Base Offer A","System.Object[]"
"Dynamics 365 for Customer Service Enterprise Edition","System.Object[]"
"Dynamics 365 for Customer Service Enterprise for Government","System.Object[]"
"Dynamics 365 for Customer Service Professional Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 for Customer Service, Enterprise Edition for Government","System.Object[]"
"Dynamics 365 for Field Service Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 for Field Service Enterprise Edition","System.Object[]"
"Dynamics 365 for Field Service Enterprise Edition for Government","System.Object[]"
"Dynamics 365 for Field Service for Government","System.Object[]"
"Dynamics 365 for Financials Business Edition","System.Object[]"
"Dynamics 365 for Marketing Additional Application","System.Object[]"
"Dynamics 365 for Marketing Additional Non-Prod Application","System.Object[]"
"Dynamics 365 for Marketing Addnl Contacts Tier 3","System.Object[]"
"Dynamics 365 for Marketing Addnl Contacts Tier 5","System.Object[]"
"Dynamics 365 for Marketing Attach","System.Object[]"
"Dynamics 365 for Marketing Business Edition","System.Object[]"
"Dynamics 365 for Marketing USL","System.Object[]"
"Dynamics 365 for Project Service Automation Enterprise Edition for Government","System.Object[]"
"Dynamics 365 for Sales and Customer Service Enterprise Edition","System.Object[]"
"Dynamics 365 for Sales Enterprise Edition","System.Object[]"
"Dynamics 365 for Sales Enterprise for Government","System.Object[]"
"Dynamics 365 For Sales Professional","System.Object[]"
"Dynamics 365 for Sales Professional for Government","System.Object[]"
"Dynamics 365 For Sales Professional Trial","System.Object[]"
"Dynamics 365 for Sales, Enterprise Edition for Government","System.Object[]"
"Dynamics 365 for Supply Chain Management","System.Object[]"
"Dynamics 365 for Supply Chain Management Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 for Talent","System.Object[]"
"Dynamics 365 for Team Members Enterprise Edition","System.Object[]"
"Dynamics 365 for Team Members Enterprise Edition for Government","System.Object[]"
"Dynamics 365 Guides","System.Object[]"
"Dynamics 365 Guides vTrial","System.Object[]"
"Dynamics 365 Hybrid Connector","System.Object[]"
"Dynamics 365 Multi-app","System.Object[]"
"Dynamics 365 Operations - Device","System.Object[]"
"Dynamics 365 Operations - Sandbox Tier 2:Standard Acceptance Testing","System.Object[]"
"Dynamics 365 Operations - Sandbox Tier 4:Standard Performance Testing","System.Object[]"
"Dynamics 365 Operations â Activity","System.Object[]"
"Dynamics 365 P1 Tria for Information Workers","System.Object[]"
"Dynamics 365 Project Operations","System.Object[]"
"Dynamics 365 Project Operations Attach","System.Object[]"
"Dynamics 365 Regulatory Service - Enterprise Edition Trial","System.Object[]"
"Dynamics 365 Remote Assist","System.Object[]"
"Dynamics 365 Remote Assist HoloLens","System.Object[]"
"Dynamics 365 Sales Enterprise Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 Sales Premium","System.Object[]"
"Dynamics 365 Sales Premium Viral Trial","System.Object[]"
"Dynamics 365 Sales Professional Attach to Qualifying Dynamics 365 Base Offer","System.Object[]"
"Dynamics 365 Sales, Field Service and Customer Service Partner Sandbox","System.Object[]"
"Dynamics 365 Talent: Attract","System.Object[]"
"Dynamics 365 Talent: Onboard","System.Object[]"
"Dynamics 365 Team Members","System.Object[]"
"Dynamics 365 UNF OPS Plan ENT Edition","System.Object[]"
"Enterprise Mobility + Security A3 for Faculty","System.Object[]"
"Enterprise Mobility + Security E3","System.Object[]"
"Enterprise Mobility + Security E5","System.Object[]"
"Enterprise Mobility + Security E5_USGOV_GCCHIGH","System.Object[]"
"Enterprise Mobility + Security G3 GCC","System.Object[]"
"Enterprise Mobility + Security G5 GCC","System.Object[]"
"Exchange Enterprise CAL Services (EOP DLP)","System.Object[]"
"Exchange Online (Plan 1)","System.Object[]"
"Exchange Online (Plan 1) for Alumni with Yammer","System.Object[]"
"Exchange Online (Plan 1) for GCC","System.Object[]"
"Exchange Online (Plan 1) for Students","System.Object[]"
"Exchange Online (Plan 2)","System.Object[]"
"Exchange Online (Plan 2) for Faculty","System.Object[]"
"Exchange Online Archiving for Exchange Online","System.Object[]"
